Interface,MDN Has Compabibility Data,MDN Page Exists,Expected URL
BeforeUnloadEvent.returnValue,false,false,https://developer.mozilla.org/en-US/docs/Web/API/BeforeUnloadEvent/returnValue
ErrorEvent.colno,true,false,https://developer.mozilla.org/docs/Web/API/ErrorEvent/colno
ErrorEvent.lineno,true,false,https://developer.mozilla.org/docs/Web/API/ErrorEvent/lineno
ErrorEvent.message,true,false,https://developer.mozilla.org/docs/Web/API/ErrorEvent/message
ErrorEvent.filename,true,false,https://developer.mozilla.org/docs/Web/API/ErrorEvent/filename
ErrorEvent.ErrorEvent,true,false,https://developer.mozilla.org/docs/Web/API/ErrorEvent/ErrorEvent
ErrorEvent.error,true,false,https://developer.mozilla.org/docs/Web/API/ErrorEvent/error
HashChangeEvent.HashChangeEvent,false,false,https://developer.mozilla.org/en-US/docs/Web/API/HashChangeEvent/HashChangeEvent
KeyboardEvent.initKeyboardEvent,false,false,https://developer.mozilla.org/en-US/docs/Web/API/KeyboardEvent/initKeyboardEvent
MessageEvent.userActivation,false,false,https://developer.mozilla.org/en-US/docs/Web/API/MessageEvent/userActivation
MouseEvent.fromElement,false,false,https://developer.mozilla.org/en-US/docs/Web/API/MouseEvent/fromElement
MouseEvent.layerY,false,false,https://developer.mozilla.org/en-US/docs/Web/API/MouseEvent/layerY
MouseEvent.layerX,false,false,https://developer.mozilla.org/en-US/docs/Web/API/MouseEvent/layerX
MouseEvent.toElement,false,false,https://developer.mozilla.org/en-US/docs/Web/API/MouseEvent/toElement
PageTransitionEvent.PageTransitionEvent,false,false,https://developer.mozilla.org/en-US/docs/Web/API/PageTransitionEvent/PageTransitionEvent
PointerEvent.azimuthAngle,false,false,https://developer.mozilla.org/en-US/docs/Web/API/PointerEvent/azimuthAngle
PointerEvent.altitudeAngle,false,false,https://developer.mozilla.org/en-US/docs/Web/API/PointerEvent/altitudeAngle
PointerEvent.getPredictedEvents,false,false,https://developer.mozilla.org/en-US/docs/Web/API/PointerEvent/getPredictedEvents
PopStateEvent.PopStateEvent,false,false,https://developer.mozilla.org/en-US/docs/Web/API/PopStateEvent/PopStateEvent
PopStateEvent.state,true,false,https://developer.mozilla.org/docs/Web/API/PopStateEvent/state
UIEvent.which,true,false,https://developer.mozilla.org/docs/Web/API/UIEvent/which
WheelEvent.wheelDelta,true,false,https://developer.mozilla.org/en-US/docs/Web/API/WheelEvent/wheelDelta
WheelEvent.wheelDeltaX,true,false,https://developer.mozilla.org/en-US/docs/Web/API/WheelEvent/wheelDeltaX
WheelEvent.wheelDeltaY,true,false,https://developer.mozilla.org/en-US/docs/Web/API/WheelEvent/wheelDeltaY
Request.keepalive,true,false,https://developer.mozilla.org/docs/Web/API/Request/keepalive
Request.signal,true,false,https://developer.mozilla.org/docs/Web/API/Request/signal
Request.isHistoryNavigation,true,false,https://developer.mozilla.org/en-US/docs/Web/API/Request/isHistoryNavigation
WorkerGlobalScope.storageFoundation,false,false,https://developer.mozilla.org/en-US/docs/Web/API/WorkerGlobalScope/storageFoundation
FileList.item,true,false,https://developer.mozilla.org/docs/Web/API/FileList/item
FileList.length,true,false,https://developer.mozilla.org/docs/Web/API/FileList/length
FileReader.onloadend,true,false,https://developer.mozilla.org/docs/Web/API/FileReader/onloadend
FileReader.onloadstart,false,false,https://developer.mozilla.org/en-US/docs/Web/API/FileReader/onloadstart
FileReader.onprogress,true,false,https://developer.mozilla.org/docs/Web/API/FileReader/onprogress
FileReaderSync.FileReaderSync,true,false,https://developer.mozilla.org/en-US/docs/Web/API/FileReaderSync/FileReaderSync
DOMMatrix.a,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/a
DOMMatrix.e,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/e
DOMMatrix.f,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/f
DOMMatrix.fromFloat32Array,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/fromFloat32Array
DOMMatrix.fromFloat64Array,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/fromFloat64Array
DOMMatrix.fromMatrix,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/fromMatrix
DOMMatrix.invertSelf,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/invertSelf
DOMMatrix.m11,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m11
DOMMatrix.b,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/b
DOMMatrix.m13,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m13
DOMMatrix.m14,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m14
DOMMatrix.m21,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m21
DOMMatrix.m22,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m22
DOMMatrix.c,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/c
DOMMatrix.m24,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m24
DOMMatrix.m31,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m31
DOMMatrix.m32,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m32
DOMMatrix.m33,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m33
DOMMatrix.m34,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m34
DOMMatrix.m41,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m41
DOMMatrix.m42,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m42
DOMMatrix.m43,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m43
DOMMatrix.m44,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m44
DOMMatrix.multiplySelf,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/multiplySelf
DOMMatrix.preMultiplySelf,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/preMultiplySelf
DOMMatrix.rotateAxisAngleSelf,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/rotateAxisAngleSelf
DOMMatrix.rotateFromVectorSelf,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/rotateFromVectorSelf
DOMMatrix.rotateSelf,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/rotateSelf
DOMMatrix.scale3dSelf,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrix/scale3dSelf
DOMMatrix.scaleSelf,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrix/scaleSelf
DOMMatrix.setMatrixValue,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/setMatrixValue
DOMMatrix.skewXSelf,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/skewXSelf
DOMMatrix.skewYSelf,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/skewYSelf
DOMMatrix.d,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/d
DOMMatrix.m23,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m23
DOMMatrix.translateSelf,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/translateSelf
DOMMatrix.m12,false,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrix/m12
DOMMatrixReadOnly.a,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/a
DOMMatrixReadOnly.e,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/e
DOMMatrixReadOnly.f,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/f
DOMMatrixReadOnly.flipY,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/flipY
DOMMatrixReadOnly.c,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/c
DOMMatrixReadOnly.fromFloat64Array,true,false,https://developer.mozilla.org/en-US/docs/Web/API/DOMMatrixReadOnly/fromFloat64Array
DOMMatrixReadOnly.fromMatrix,true,false,https://developer.mozilla.org/docs/Web/API/DOMMatrixReadOnly/fromMatrix
